date,USD,EUR,GBP,Oil Price Brent
2013-01-01,100,100,100,100
2013-02-01,99.86,99.62,99.78,99.76
2013-03-01,99.80,99.32,99.87,98.49
2013-04-01,99.78,99.01,99.93,97.21
2013-05-01,99.77,98.55,99.81,96.63
2013-06-01,99.99,98.30,99.59,97.21
2013-07-01,100.47,98.02,99.53,97.60
2013-08-01,101.16,97.98,99.61,97.45
2013-09-01,101.80,98.17,99.93,97.36
2013-10-01,102.60,98.53,100.29,97.16
2013-11-01,103.57,99.14,100.81,97.07
2013-12-01,104.75,100.04,101.57,97.16
2014-01-01,105.88,101.21,102.45,96.80
2014-02-01,106.93,102.59,103.26,96.27
2014-03-01,107.83,103.74,103.59,96.19
2014-04-01,108.62,104.76,103.85,96.60
2014-05-01,109.28,105.76,104.01,97.12
2014-06-01,109.82,106.80,104.27,97.78
2014-07-01,110.38,108.09,104.51,97.70
2014-08-01,110.73,109.10,104.84,96.98
2014-09-01,110.96,109.88,105.37,95.90
2014-10-01,111.18,110.75,106.24,94.28
2014-11-01,111.50,111.61,107.29,92.17
2014-12-01,112.13,112.82,108.93,88.56
2015-01-01,112.73,114.17,111.12,84.06
2015-02-01,113.03,115.54,113.25,80.28
2015-03-01,113.42,117.34,116.10,76.43
2015-04-01,113.70,118.97,118.86,72.84
2015-05-01,113.99,120.48,121.18,69.45
2015-06-01,114.59,122.22,123.72,65.70
2015-07-01,115.20,124.09,126.50,61.96
2015-08-01,116.24,126.36,129.45,57.85
2015-09-01,117.50,128.53,132.26,54.16
2015-10-01,118.59,130.46,134.73,51.26
2015-11-01,119.45,132.60,137.34,48.64
2015-12-01,120.00,134.11,139.40,46.82
2016-01-01,120.73,135.08,141.05,45.55
2016-02-01,121.79,135.70,142.53,43.62
2016-03-01,122.66,135.83,143.27,42.30
2016-04-01,123.58,135.80,143.75,40.96
2016-05-01,124.59,136.11,144.74,39.67
2016-06-01,125.23,135.80,145.46,38.69
2016-07-01,125.72,134.44,145.95,37.82
2016-08-01,125.85,132.65,146.03,37.77
2016-09-01,125.73,130.89,145.90,37.69
2016-10-01,125.41,128.53,145.74,37.77
2016-11-01,125.21,126.13,145.44,37.81
2016-12-01,124.72,123.99,145.24,38.95
2017-01-01,124.06,121.95,144.73,40.73
2017-02-01,123.27,120.19,144.31,42.42
